news_count,avg_sentiment,std_sentiment,pos_ratio,neg_ratio,ma_keyword_count,ma_keyword_ratio,max_sentiment,min_sentiment,avg_finbert_compound,std_finbert_compound,avg_finbert_positive,avg_finbert_negative,distinctive_term_ratio,topic_0_mean,topic_1_mean,topic_2_mean,topic_3_mean,topic_4_mean,topic_5_mean,topic_6_mean,topic_7_mean,transaction_id,window,label,late_share,sentiment_trend,edgar_filing_count,edgar_deal_filing_count,edgar_deal_filing_ratio,announcement_date,primary_industry,deal_value_usd,transaction_type,has_news
40,0.08224250000000001,0.2523821426800042,0.35,0.1,1,0.025,0.7269,-0.4939,-0.11544151310808956,0.3946483588342487,0.09591813774313777,0.21135965085122735,0.25,0.00011394916107842123,0.02388557354742807,0.021424264805159045,0.015191629011176811,0.009169340802734838,0.004482520350824406,0.014409293755137387,0.01723198118252639,SPTRD1439488,baseline,0,1.0,-0.5664300567107868,1.0,0.0,0.0,2018-05-21,Machinery and Equipment: Construction and Heavy Transportation,9851536000,Acquisition of Whole Company (incl. Majority Stake),True
41,0.1180268292682927,0.2960548243759725,0.4146341463414634,0.12195121951219512,0,0.0,0.7351,-0.6597,0.21688242004502836,0.4243849881718838,0.28711087306643407,0.07022845302140568,0.36585365853658536,0.00019367479527869968,0.003869828527525966,0.04605994103191886,0.009581800779499118,0.0005644582596946275,0.010082581982746239,0.004178800297842123,0.015755646088688187,SPTRD1439488,pre,1,1.0,-0.3158723651990197,3.0,0.0,0.0,2018-05-21,Machinery and Equipment: Construction and Heavy Transportation,9851536000,Acquisition of Whole Company (incl. Majority Stake),True
31,0.02438387096774193,0.31874738920805473,0.3225806451612903,0.16129032258064516,1,0.03225806451612903,0.5106,-0.802,-0.06806065349449072,0.5447455342568988,0.19452445103877014,0.2625851045332609,0.3225806451612903,0.0018712633988861047,0.002001898649587157,0.002162498963977558,0.017942821625981754,0.012220916525880431,0.016275049546805608,0.044287114298972974,0.002352844134314002,SPTRD1463772,baseline,0,1.0,0.34445719844357925,0.0,0.0,0.0,2018-07-22,Data Processing and Outsourced Services,3402564252,Acquisition of Whole Company (incl. Majority Stake),True
30,0.35612666666666665,0.3088546960771179,0.7,0.03333333333333333,0,0.0,0.8221,-0.5106,0.13713890947401525,0.3366639722244376,0.1927637427424391,0.05562483326842387,0.7666666666666667,0.0001725448865099014,0.0024524700220934217,0.007064939985422297,0.025453140848279092,0.27500411835250144,0.0016402490550404642,0.005859012758222606,0.0007628812914320701,SPTRD1463772,pre,1,1.0,3.6643372031100245,5.0,0.0,0.0,2018-07-22,Data Processing and Outsourced Services,3402564252,Acquisition of Whole Company (incl. Majority Stake),True
2,0.4019,0.0,1.0,0.0,0,0.0,0.4019,0.4019,0.31195398326963186,0.2349613131955266,0.3245481140911579,0.01259413082152605,0.0,0.0,2.744504183879081e-05,0.07185750287267725,0.010455575077123075,0.0,0.0002008702832358031,0.0,0.0039291646094760345,SPTRD1510079,pre,1,0.0,0.0,0.0,0.0,0.0,2018-11-21,Health Care Services,1884620482,Acquisition of Minority Stake,True
21,0.08672857142857142,0.33589723788946035,0.3333333333333333,0.19047619047619047,0,0.0,0.802,-0.5719,0.031078257376239413,0.41389952482939274,0.16784294809968697,0.13676469072344757,0.2857142857142857,0.0003463616832899553,0.00855222745027939,0.04782697762546238,0.08715637106206497,0.00026537873788701807,0.009408025736827861,0.033735596137942754,0.005802132536418014,SPTRD1595713,baseline,0,0.6666666666666666,-0.0948813230769232,5.0,0.0,0.0,2019-07-12,Machinery and Supplies and Components: Industrial,1338188817,Acquisition of Whole Company (incl. Majority Stake),True
33,0.12361212121212121,0.23514892864088283,0.36363636363636365,0.030303030303030304,2,0.06060606060606061,0.7506,-0.4404,0.14182411427750732,0.304609911148907,0.18672870325319696,0.04490458897568963,0.42424242424242425,0.0008993734411180405,0.02477006107840905,0.023286312003871303,0.06140186780187673,0.001767083083629691,0.004864548558552231,0.017688360735457976,0.023929009337040147,SPTRD1595713,pre,1,0.7575757575757576,-0.2491074265736687,5.0,0.0,0.0,2019-07-12,Machinery and Supplies and Components: Industrial,1338188817,Acquisition of Whole Company (incl. Majority Stake),True
35,-0.14558857142857143,0.38512435599903766,0.17142857142857143,0.42857142857142855,1,0.02857142857142857,0.6705,-0.9423,-0.188958699415837,0.4339545504574583,0.10786499327846936,0.29682369269430636,0.14285714285714285,0.00010231755619193954,0.01406731391475102,0.015548355423966239,0.004074414476525151,0.008573067033854524,0.0019378484734567571,0.005390358006779466,0.012993362057269758,SPTRD1603746,baseline,0,1.0,0.0,11.0,1.0,0.09090909090909091,2019-08-05,Publishing,1299311126,Acquisition of Whole Company (incl. Majority Stake),True
6,-0.08626666666666667,0.3008777972680751,0.16666666666666666,0.5,0,0.0,0.4404,-0.4404,-0.13446385180577636,0.6291440737600825,0.1935622471695145,0.32802609897529084,0.6666666666666666,3.339440000567205e-05,0.00022229730999479014,0.0010461066919035522,0.01933916946891562,0.0,0.09090447406568851,0.11018517393538012,0.00561356765479732,SPTRD1605739,baseline,0,0.8333333333333334,-1.4508842652795846,3.0,0.0,0.0,2019-08-09,Trading Companies and Distributors,1122726465,Acquisition of Whole Company (incl. Majority Stake),True
38,0.18079473684210529,0.3875941644143893,0.42105263157894735,0.15789473684210525,1,0.02631578947368421,0.7783,-0.8126,0.302690811516521,0.4854180584337908,0.3895969746732398,0.0869061631567188,0.39473684210526316,1.129638966499405e-05,0.006537848233204643,0.01954069347699045,0.011850436079196858,0.0005087645136636658,0.022911818467734373,0.01980759193892287,0.027414136201381147,SPTRD1605739,pre,1,0.3684210526315789,-0.41512178351241624,0.0,0.0,0.0,2019-08-09,Trading Companies and Distributors,1122726465,Acquisition of Whole Company (incl. Majority Stake),True
