news_count,avg_sentiment,std_sentiment,pos_ratio,neg_ratio,ma_keyword_count,ma_keyword_ratio,max_sentiment,min_sentiment,transaction_id,window,label,announcement_date,primary_industry,deal_value_usd,transaction_type
88,-0.024114772727272728,0.28639929316022344,0.13636363636363635,0.20454545454545456,0,0.0,0.7184,-0.8481,SPTRD2192834,pre,1,2025-12-31,Asset Management,,Acquisition of Whole Company (incl. Majority Stake)
39,0.1544230769230769,0.2928049210227655,0.3333333333333333,0.07692307692307693,2,0.05128205128205128,0.7845,-0.5267,SPTRD2194729,baseline,0,2025-12-31,Unclassified,150500000.0,Acquisition of Asset or Branch
5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2197858,baseline,0,2025-10-29,Unclassified,,Acquisition of Asset or Branch
6,0.20125,0.2880660095070804,0.3333333333333333,0.0,0,0.0,0.6808,0.0,SPTRD2197858,pre,1,2025-10-29,Unclassified,,Acquisition of Asset or Branch
42,0.11686190476190478,0.3109681257225883,0.4523809523809524,0.19047619047619047,1,0.023809523809523808,0.5719,-0.4939,SPTRD2203608,baseline,0,2025-12-18,Electrical Components and Equipment: Heavy,6000000000.0,Acquisition of Whole Company (incl. Majority Stake)
3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2203608,pre,1,2025-12-18,Electrical Components and Equipment: Heavy,6000000000.0,Acquisition of Whole Company (incl. Majority Stake)
19,0.026915789473684216,0.15339080210933492,0.10526315789473684,0.05263157894736842,0,0.0,0.5574,-0.296,SPTRD2215613,baseline,0,2025-10-01,Application Software,,Acquisition of Whole Company (incl. Majority Stake)
51,0.03424117647058823,0.36731919878314884,0.3137254901960784,0.23529411764705882,1,0.0196078431372549,0.8271,-0.85,SPTRD2215613,pre,1,2025-10-01,Application Software,,Acquisition of Whole Company (incl. Majority Stake)
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2204943,pre,1,2025-12-09,Unclassified,51300000.0,Acquisition of Asset or Branch
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2204943,baseline,0,2025-12-09,Unclassified,51300000.0,Acquisition of Asset or Branch
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2172011,pre,1,2025-10-01,Mortgage Banks and Brokers,,Acquisition of Asset or Branch
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2172011,baseline,0,2025-10-01,Mortgage Banks and Brokers,,Acquisition of Asset or Branch
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2173548,pre,1,2025-10-09,Application Software,,Acquisition of Whole Company (incl. Majority Stake)
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2183234,pre,1,2025-12-01,Unclassified,,Acquisition of Whole Company (incl. Majority Stake)
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2175098,pre,1,2025-10-21,Unclassified,93200000.0,Acquisition of Asset or Branch
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2175098,baseline,0,2025-10-21,Unclassified,93200000.0,Acquisition of Asset or Branch
